ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,SG_PARTIDO,NM_COLIGACAO,DS_NACIONALIDADE,SG_UF_NASCIMENTO,DT_NASCIMENTO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SIT_TOT_TURNO,ST_REELEICAO,DS_SITUACAO_CANDIDATO_PLEITO
2018,PR,DEPUTADO FEDERAL,LUIZ FELIPE BERGMANN,LUIZ FELIPE BERGMANN,APTO,DEFERIDO,COLIGAÇÃO,PSOL,PSOL-PCB,BRASILEIRA NATA,RS,04/11/1961,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,TO,DEPUTADO FEDERAL,ELAINE DOS SANTOS COSTA,ELAINE COSTA,APTO,DEFERIDO,COLIGAÇÃO,PRTB,FRENTE ALTERNATIVA 2,BRASILEIRA NATA,SP,15/05/1960,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,GO,DEPUTADO FEDERAL,FRANCISCO WELLINGTON LEITE BRAGA,EMPRESARIO CHICO LEITE,APTO,DEFERIDO,COLIGAÇÃO,PATRIOTA,GOIÁS AVANÇA MAIS II,BRASILEIRA NATA,CE,14/04/1970,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,PB,DEPUTADO FEDERAL,BRUNO AUGUSTO DERIU,DR. BRUNO DERIU,APTO,DEFERIDO,COLIGAÇÃO,AVANTE,A FORÇA DO TRABALHO II,BRASILEIRA NATA,PB,14/09/1972,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,2500000,NÃO ELEITO,N,DEFERIDO
2018,RS,DEPUTADO FEDERAL,LUCIANO MARQUES DA ROSA,LUCIANO DA ROSA,APTO,DEFERIDO,COLIGAÇÃO,PPS,O RIO GRANDE QUE QUEREMOS,BRASILEIRA NATA,RS,04/09/1971,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,2500000,NÃO ELEITO,N,DEFERIDO
2018,RS,DEPUTADO FEDERAL,GILBERTO LUIZ UTZIG,CAVALEIRO DA ESPERANÇA,APTO,DEFERIDO,COLIGAÇÃO,PMB,FRENTE TRABALHISTA SUSTENTAVEL,BRASILEIRA NATA,RS,12/04/1961,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,RJ,DEPUTADO FEDERAL,ELAINE CRISTINA RODRIGUES DE OLIVEIRA SAMPAIO,ELAINE TORRES,APTO,DEFERIDO,PARTIDO ISOLADO,PRTB,PARTIDO ISOLADO,BRASILEIRA NATA,RJ,15/09/1976,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,2500000,NÃO ELEITO,N,DEFERIDO
2018,SP,DEPUTADO FEDERAL,MONICA ROSENBERG BRAIZAT,MONICA ROSENBERG,APTO,DEFERIDO,PARTIDO ISOLADO,NOVO,PARTIDO ISOLADO,BRASILEIRA NATA,SP,19/09/1968,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,2500000,SUPLENTE,N,DEFERIDO
2018,MS,DEPUTADO FEDERAL,ALVERINO BATISTA LEMOS,VERINO MINEIRO,APTO,DEFERIDO,PARTIDO ISOLADO,PSOL,PARTIDO ISOLADO,BRASILEIRA NATA,MG,17/12/1966,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,2500000,NÃO ELEITO,N,DEFERIDO
2018,BA,DEPUTADO FEDERAL,DANIEL GOMES DE ALMEIDA,DANIEL ALMEIDA,APTO,DEFERIDO,COLIGAÇÃO,PC do B,FRENTE DO TRABALHO POR TODA BAHIA,BRASILEIRA NATA,BA,21/01/1955,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,2500000,ELEITO,S,DEFERIDO
